Name,ID,Species,Forme,Type1,Type2,Ability1,Ability2,AbilityH,HP,Attack,Defense,SpAttack,SpDefense,Speed,Total,Weight,Height,Dex1,Dex2,Class,%Male,%Female,Pre-Evolution,Egg Group 1,Egg Group 2,Type Concat,Ability Concat,,HP,ATK,DEF,SP_ATK,SP_DEF,SPEED,TOTAL
Bulbasaur,1,Bulbasaur,Bulbasaur,Grass,Poison,Overgrow,,Chlorophyll,45,49,49,65,65,45,318,15.2 lbs.,"2'04""",,,Seed,0.875,0.125,,Monster,Grass,Grass / Poison,Overgrow / Chlorophyll*,,23,25,25,33,33,23,159
Ivysaur,2,Ivysaur,Ivysaur,Grass,Poison,Overgrow,,Chlorophyll,60,62,63,80,80,60,405,28.7 lbs.,"3'03""",,,Seed,0.875,0.125,Bulbasaur,Monster,Grass,Grass / Poison,Overgrow / Chlorophyll*,,30,31,32,40,40,30,203
Venusaur,3,Venusaur,Venusaur,Grass,Poison,Overgrow,,Chlorophyll,80,82,83,100,100,80,525,220.5 lbs.,"6'07""",,,Seed,0.875,0.125,Ivysaur,Monster,Grass,Grass / Poison,Overgrow / Chlorophyll*,,40,41,42,50,50,40,263
Charmander,4,Venusaur,Charmander,Fire,,Blaze,,Solar Power,39,52,43,60,50,65,309,18.7 lbs.,"2'00""",,,Lizard,0.875,0.125,,Monster,Dragon,Fire,Blaze / Solar Power*,,20,26,22,30,25,33,155
Charmeleon,5,Charmeleon,Charmeleon,Fire,,Blaze,,Solar Power,58,64,58,80,65,80,405,41.9 lbs.,"3'07""",,,Flame,0.875,0.125,Charmander,Monster,Dragon,Fire,Blaze / Solar Power*,,29,32,29,40,33,40,203
Charizard,6,Charizard,Charizard,Fire,Flying,Blaze,,Solar Power,78,84,78,109,85,100,534,199.5 lbs.,"5'07""",,,Flame,0.875,0.125,Charmeleon,Monster,Dragon,Fire / Flying,Blaze / Solar Power*,,39,42,39,55,43,50,267
Squirtle,7,Squirtle,Squirtle,Water,,Torrent,,Rain Dish,44,48,65,50,64,43,314,19.8 lbs.,"1'08""",,,Tiny Turtle,0.875,0.125,,Monster,Water 1,Water,Torrent / Rain Dish*,,22,24,33,25,32,22,157
Wartortle,8,Wartortle,Wartortle,Water,,Torrent,,Rain Dish,59,63,80,65,80,58,405,49.6 lbs.,"3'03""",,,Turtle,0.875,0.125,Squirtle,Monster,Water 1,Water,Torrent / Rain Dish*,,30,32,40,33,40,29,203
Blastoise,9,Blastoise,Blastoise,Water,,Torrent,,Rain Dish,79,83,100,85,105,78,530,188.5 lbs.,"5'03""",,,Shellfish,0.875,0.125,Wartortle,Monster,Water 1,Water,Torrent / Rain Dish*,,40,42,50,43,53,39,265
Caterpie,10,Caterpie,Caterpie,Bug,,Shield Dust,,Run Away,45,30,35,20,20,45,195,6.4 lbs.,"1'00""","When attacked by bird PokÃ©mon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey.","Itâ€™s easy to catch, and it grows quickly, making it one of the top recommendations for novice PokÃ©mon Trainers.",Worm,0.5,0.5,,Bug,,Bug,Shield Dust / Run Away*,,23,15,18,10,10,23,98
Metapod,11,Metapod,Metapod,Bug,,Shed Skin,,,50,20,55,25,25,30,205,21.8 lbs.,"2'04""",Its shell is filled with its soft innards. It doesnâ€™t move much because of the risk it might carelessly spill its innards out.,"Its shell is hard, but itâ€™s still just a bug shell. Itâ€™s been known to break, so intense battles with it should be avoided.",Cocoon,0.5,0.5,Caterpie,Bug,,Bug,Shed Skin,,25,10,28,13,13,15,103
